Rf	Ru	eps	epsp	RERHO	IMRHO	alpha_f	alpha_u	delta_f	delta_u	status
0.08	0.08	0.01	0.01	0.99	14.134725	2.2744e-10	2.2744e-10	1.4501e-14	1.4501e-14	VISIBLE
0.08	0.08	0.01	0.1	0.99	14.134725	2.2744e-10	2.2744e-10	1.4501e-14	1.3315e-13	VISIBLE
0.08	0.08	0.1	0.01	0.99	14.134725	2.2744e-10	2.2744e-10	1.3315e-13	1.4501e-14	VISIBLE
0.08	0.08	0.1	0.1	0.99	14.134725	2.2744e-10	2.2744e-10	1.3315e-13	1.3315e-13	VISIBLE
0.08	0.12	0.01	0.01	0.99	14.134725	2.2744e-10	4.0030e-09	1.4501e-14	1.3197e-13	VISIBLE
0.08	0.12	0.01	0.1	0.99	14.134725	2.2744e-10	4.0030e-09	1.4501e-14	1.2117e-12	VISIBLE
0.08	0.12	0.1	0.01	0.99	14.134725	2.2744e-10	4.0030e-09	1.3315e-13	1.3197e-13	VISIBLE
0.08	0.12	0.1	0.1	0.99	14.134725	2.2744e-10	4.0030e-09	1.3315e-13	1.2117e-12	VISIBLE
0.08	0.1732	0.01	0.01	0.99	14.134725	2.2744e-10	5.5225e-08	1.4501e-14	6.1441e-13	VISIBLE
0.08	0.1732	0.01	0.1	0.99	14.134725	2.2744e-10	5.5225e-08	1.4501e-14	5.6414e-12	VISIBLE
0.08	0.1732	0.1	0.01	0.99	14.134725	2.2744e-10	5.5225e-08	1.3315e-13	6.1441e-13	VISIBLE
0.08	0.1732	0.1	0.1	0.99	14.134725	2.2744e-10	5.5225e-08	1.3315e-13	5.6414e-12	VISIBLE
0.12	0.08	0.01	0.01	0.99	14.134725	4.0030e-09	2.2744e-10	1.3197e-13	1.4501e-14	VISIBLE
0.12	0.08	0.01	0.1	0.99	14.134725	4.0030e-09	2.2744e-10	1.3197e-13	1.3315e-13	VISIBLE
0.12	0.08	0.1	0.01	0.99	14.134725	4.0030e-09	2.2744e-10	1.2117e-12	1.4501e-14	VISIBLE
0.12	0.08	0.1	0.1	0.99	14.134725	4.0030e-09	2.2744e-10	1.2117e-12	1.3315e-13	VISIBLE
0.12	0.12	0.01	0.01	0.99	14.134725	4.0030e-09	4.0030e-09	1.3197e-13	1.3197e-13	VISIBLE
0.12	0.12	0.01	0.1	0.99	14.134725	4.0030e-09	4.0030e-09	1.3197e-13	1.2117e-12	VISIBLE
0.12	0.12	0.1	0.01	0.99	14.134725	4.0030e-09	4.0030e-09	1.2117e-12	1.3197e-13	VISIBLE
0.12	0.12	0.1	0.1	0.99	14.134725	4.0030e-09	4.0030e-09	1.2117e-12	1.2117e-12	VISIBLE
0.12	0.1732	0.01	0.01	0.99	14.134725	4.0030e-09	5.5225e-08	1.3197e-13	6.1441e-13	VISIBLE
0.12	0.1732	0.01	0.1	0.99	14.134725	4.0030e-09	5.5225e-08	1.3197e-13	5.6414e-12	VISIBLE
0.12	0.1732	0.1	0.01	0.99	14.134725	4.0030e-09	5.5225e-08	1.2117e-12	6.1441e-13	VISIBLE
0.12	0.1732	0.1	0.1	0.99	14.134725	4.0030e-09	5.5225e-08	1.2117e-12	5.6414e-12	VISIBLE
0.1732	0.08	0.01	0.01	0.99	14.134725	5.5225e-08	2.2744e-10	6.1441e-13	1.4501e-14	TESTED
0.1732	0.08	0.01	0.1	0.99	14.134725	5.5225e-08	2.2744e-10	6.1441e-13	1.3315e-13	TESTED
0.1732	0.08	0.1	0.01	0.99	14.134725	5.5225e-08	2.2744e-10	5.6414e-12	1.4501e-14	TESTED
0.1732	0.08	0.1	0.1	0.99	14.134725	5.5225e-08	2.2744e-10	5.6414e-12	1.3315e-13	TESTED
0.1732	0.12	0.01	0.01	0.99	14.134725	5.5225e-08	4.0030e-09	6.1441e-13	1.3197e-13	TESTED
0.1732	0.12	0.01	0.1	0.99	14.134725	5.5225e-08	4.0030e-09	6.1441e-13	1.2117e-12	VISIBLE
0.1732	0.12	0.1	0.01	0.99	14.134725	5.5225e-08	4.0030e-09	5.6414e-12	1.3197e-13	VISIBLE
0.1732	0.12	0.1	0.1	0.99	14.134725	5.5225e-08	4.0030e-09	5.6414e-12	1.2117e-12	VISIBLE
